,station_nm,line_nm,IncomingPassengers,OutgoingPassengers
1657,Славянский бульвар,Арбатско-Покровская,4678969,4571330
1658,Партизанская,Арбатско-Покровская,1774348,1679955
1659,Народное Ополчение,Большая кольцевая,1492783,1499812
1660,Динамо,Замоскворецкая,2416479,2487168
1661,Медведково,Калужско-Рижская,4397492,4240594
1662,Китай-город,Калужско-Рижская,5124726,5314589
1663,Коньково,Калужско-Рижская,2175260,2173626
1664,Петровско-Разумовская,Люблинско-Дмитровская,1730076,1701625
1665,Дубровка,Люблинско-Дмитровская,1495683,1595134
1666,Зябликово,Люблинско-Дмитровская,819796,819128
1667,Новохохловская,Московское центральное кольцо,654601,681149
1668,Крымская,Московское центральное кольцо,870946,917168
1669,Стахановская,Некрасовская,555843,500451
1670,Владыкино,Серпуховско-Тимирязевская,1348830,1600751
1671,Серпуховская,Серпуховско-Тимирязевская,1638317,1740165
1672,Чистые пруды,Сокольническая,1617901,1698165
1673,Парк Победы,Солнцевская,378068,400485
1674,Говорово,Солнцевская,1104731,1063264
1675,Новопеределкино,Солнцевская,1336282,1280707
1676,Щукинская,Таганско-Краснопресненская,3414033,3424522
1677,Пролетарская,Таганско-Краснопресненская,2533086,2576770
1678,Пионерская,Филёвская,498590,484814
1679,Александровский сад,Филёвская,1473992,1480073
1680,Арбатская,Арбатско-Покровская,2119890,2247800
1681,Лефортово,Некрасовская,562076,562123
1682,Лесопарковая,Бутовская,634458,602966
1683,Авиамоторная,Калининская,3400258,3570615
1684,Киевская,Кольцевая,3152625,3070193
1685,Ботанический сад,Московское центральное кольцо,1002370,1225726
1686,Кутузовская,Московское центральное кольцо,1543093,1721750
1687,Проспект Вернадского,Сокольническая,2149699,2173954
1373,Пятницкое шоссе,Арбатско-Покровская,1586597,1494986
1374,Митино,Арбатско-Покровская,2135762,2043853
1375,Волоколамская,Арбатско-Покровская,1540121,1498280
1376,Мякинино,Арбатско-Покровская,1524550,1467670
1377,Строгино,Арбатско-Покровская,2571183,2538389
1378,Крылатское,Арбатско-Покровская,2221765,2189532
1379,Молодёжная,Арбатско-Покровская,4010031,3949471
1381,Киевская,Арбатско-Покровская,3765674,3484368
1382,Площадь Революции,Арбатско-Покровская,3018192,3032708
1383,Бауманская,Арбатско-Покровская,4633111,4871060
1384,Электрозаводская,Арбатско-Покровская,2932265,3131098
1385,Семёновская,Арбатско-Покровская,2582010,2659805
1387,Измайловская,Арбатско-Покровская,1628601,1631644
1388,Первомайская,Арбатско-Покровская,3010996,2986317
1389,Щёлковская,Арбатско-Покровская,6528620,6168534
1390,ЦСКА,Большая кольцевая,2532271,2610808
1391,Хорошёвская,Большая кольцевая,744764,761255
1393,Мнёвники,Большая кольцевая,195463,207697
1394,Авиамоторная,Некрасовская,587907,587602
1395,Терехово,Большая кольцевая,195463,207697
1396,Кунцевская,Большая кольцевая,924292,919763
1397,Давыдково,Большая кольцевая,755375,753748
1398,Аминьевская,Большая кольцевая,865753,847504
1399,Проспект Вернадского,Большая кольцевая,400920,404651
1400,Новаторская,Большая кольцевая,940611,936135
1401,Воронцовская,Большая кольцевая,584956,604116
1402,Зюзино,Большая кольцевая,1254997,1242129
1403,Каховская,Большая кольцевая,1291548,1319405
1404,Битцевский парк,Бутовская,265435,204142
1407,Улица Скобелевская,Бутовская,1576056,1511190
1408,Бульвар Адмирала Ушакова,Бутовская,868292,854198
1409,Улица Горчакова,Бутовская,813623,792557
1410,Бунинская аллея,Бутовская,1777962,1732284
1411,Ховрино,Замоскворецкая,3847454,3525138
1412,Беломорская,Замоскворецкая,2488621,2386587
1413,Речной вокзал,Замоскворецкая,2421306,2365636
1414,Водный стадион,Замоскворецкая,3449685,3446336
1415,Войковская,Замоскворецкая,3933565,3974099
1416,Сокол,Замоскворецкая,2949089,2999723
1417,Аэропорт,Замоскворецкая,3022530,3092870
1419,Белорусская,Замоскворецкая,2250551,2250815
1420,Маяковская,Замоскворецкая,2885140,3012138
1423,Новокузнецкая,Замоскворецкая,2601989,2758155
1424,Павелецкая,Замоскворецкая,3080271,2672294
1425,Автозаводская,Замоскворецкая,3114461,3310129
1426,Технопарк,Замоскворецкая,1576170,1598477
1427,Коломенская,Замоскворецкая,4245486,4270052
1428,Каширская,Замоскворецкая,2247467,2286992
1429,Кантемировская,Замоскворецкая,3088184,3054373
1430,Царицыно,Замоскворецкая,5397838,5186042
1431,Орехово,Замоскворецкая,1686756,1615668
1432,Домодедовская,Замоскворецкая,5466033,5065613
1433,Красногвардейская,Замоскворецкая,1517464,1497092
1434,Алма-Атинская,Замоскворецкая,1183860,1149308
1435,Новокосино,Калининская,5231147,5040768
1436,Новогиреево,Калининская,5897756,5693997
1437,Перово,Калининская,3437105,3401428
1438,Шоссе Энтузиастов,Калининская,1775972,1908167
1439,Площадь Ильича,Калининская,1548457,1556152
1440,Марксистская,Калининская,1983869,2076238
1442,Бабушкинская,Калужско-Рижская,4096024,4060458
1443,Свиблово,Калужско-Рижская,2053663,2055641
1444,Ботанический сад,Калужско-Рижская,1454093,1671223
1445,ВДНХ,Калужско-Рижская,6282100,5993874
1446,Алексеевская,Калужско-Рижская,2799064,2871672
1447,Рижская,Калужско-Рижская,560639,570695
1448,Сухаревская,Калужско-Рижская,1740739,1841053
1449,Тургеневская,Калужско-Рижская,1587101,1686922
1451,Октябрьская,Калужско-Рижская,1082879,1137907
1452,Шаболовская,Калужско-Рижская,2224228,2350843
1453,Ленинский проспект,Калужско-Рижская,3187441,3683899
1454,Академическая,Калужско-Рижская,2873329,2893919
1455,Профсоюзная,Калужско-Рижская,2668411,2734236
1456,Новые Черёмушки,Калужско-Рижская,3047381,3104966
1457,Калужская,Калужско-Рижская,2790699,2898291
1458,Беляево,Калужско-Рижская,3141714,3188447
1460,Тёплый Стан,Калужско-Рижская,5345989,5232646
1461,Ясенево,Калужско-Рижская,2549885,2503628
1462,Новоясеневская,Калужско-Рижская,561313,543383
1463,Краснопресненская,Кольцевая,1947126,1977168
1464,Новослободская,Кольцевая,2084099,2225278
1465,Проспект Мира,Кольцевая,2233982,2313669
1466,Курская,Кольцевая,2823163,2581055
1467,Добрынинская,Кольцевая,1734972,1810675
1468,Селигерская,Люблинско-Дмитровская,3777876,3683052
1469,Верхние Лихоборы,Люблинско-Дмитровская,1122331,1099032
1470,Окружная,Люблинско-Дмитровская,534759,528171
1472,Фонвизинская,Люблинско-Дмитровская,1238838,1229926
1473,Бутырская,Люблинско-Дмитровская,1184040,1220935
1474,Марьина Роща,Люблинско-Дмитровская,2418208,2478365
1475,Достоевская,Люблинско-Дмитровская,1087802,1133406
1476,Трубная,Люблинско-Дмитровская,1381345,1463722
1477,Сретенский бульвар,Люблинско-Дмитровская,719253,765941
1478,Чкаловская,Люблинско-Дмитровская,4062634,3940894
1479,Римская,Люблинско-Дмитровская,1650407,1662803
1480,Крестьянская застава,Люблинско-Дмитровская,669217,701239
1482,Кожуховская,Люблинско-Дмитровская,1871102,1958066
1483,Печатники,Люблинско-Дмитровская,1728086,1735705
